"nparticles","tvals","V1","V2","V3","V4","V5","V6","V7","V8"
2,2.80642372865945,0.29,0.71,0,0,0,0,0,0
2,2.87931785148177,0.2,0.8,0,0,0,0,0,0
2,2.9522119743041,0.26,0.74,0,0,0,0,0,0
2,3.02510609712642,0.26,0.74,0,0,0,0,0,0
2,3.09800021994874,0.18,0.82,0,0,0,0,0,0
2,3.17089434277107,0.23,0.77,0,0,0,0,0,0
2,3.24378846559339,0.22,0.78,0,0,0,0,0,0
2,3.31668258841571,0.17,0.83,0,0,0,0,0,0
2,3.38957671123804,0.28,0.72,0,0,0,0,0,0
2,3.46247083406036,0.3,0.7,0,0,0,0,0,0
2,3.53536495688268,0.19,0.81,0,0,0,0,0,0
2,3.60825907970501,0.2,0.8,0,0,0,0,0,0
2,3.68115320252733,0.24,0.76,0,0,0,0,0,0
2,3.75404732534965,0.21,0.79,0,0,0,0,0,0
2,3.82694144817198,0.27,0.73,0,0,0,0,0,0
2,3.8998355709943,0.25,0.75,0,0,0,0,0,0
2,3.97272969381662,0.24,0.76,0,0,0,0,0,0
2,4.04562381663895,0.24,0.76,0,0,0,0,0,0
2,4.11851793946127,0.16,0.84,0,0,0,0,0,0
2,4.19141206228359,0.19,0.81,0,0,0,0,0,0
2,4.26430618510592,0.24,0.76,0,0,0,0,0,0
2,4.33720030792824,0.3,0.7,0,0,0,0,0,0
2,4.41009443075056,0.21,0.79,0,0,0,0,0,0
2,4.48298855357289,0.25,0.75,0,0,0,0,0,0
2,4.55588267639521,0.29,0.71,0,0,0,0,0,0
2,4.62877679921753,0.22,0.78,0,0,0,0,0,0
2,4.70167092203986,0.18,0.82,0,0,0,0,0,0
2,4.77456504486218,0.23,0.77,0,0,0,0,0,0
2,4.8474591676845,0.19,0.81,0,0,0,0,0,0
2,4.92035329050683,0.24,0.76,0,0,0,0,0,0
2,4.99324741332915,0.2,0.8,0,0,0,0,0,0
2,5.06614153615147,0.21,0.79,0,0,0,0,0,0
2,5.1390356589738,0.18,0.82,0,0,0,0,0,0
2,5.21192978179612,0.16,0.84,0,0,0,0,0,0
2,5.28482390461844,0.23,0.77,0,0,0,0,0,0
2,5.35771802744077,0.19,0.81,0,0,0,0,0,0
